frequency_hz,peak_amplitude_mv
196500,1.62578849622e-14
196750,1.74975143449e-14
197000,1.96921746409e-14
197250,2.19186881764e-14
197500,2.37231467893e-14
197750,2.64886035272e-14
198000,3.04046326904e-14
198250,3.46388773306e-14
198500,4.00375319792e-14
198750,4.97714794765e-14
199000,6.19888340507e-14
199250,8.25051279202e-14
199500,1.23751954105e-13
199750,2.48358184608e-13
200000,2.883008621
200250,2.49436234017e-13
200500,1.25925084333e-13
200750,8.3821785207e-14
201000,6.38618684943e-14
201250,4.88978085005e-14
201500,4.10495292815e-14
201750,3.63799410486e-14
202000,3.04989551496e-14
202250,2.73332952795e-14
202500,2.50971529459e-14
202750,2.27839980519e-14
203000,2.06752701706e-14
203250,2.00094240849e-14
203500,1.84548067065e-14
203750,1.76757464609e-14
204000,1.56697026839e-14
204250,1.51296166462e-14
204500,1.47624625273e-14
204750,1.56930523757e-14
205000,1.55799749091e-14
205250,1.53855487074e-14
205500,1.38807189174e-14
205750,1.18162281023e-14
206000,1.00556467343e-14
206250,9.58733015859e-15
206500,1.04111526445e-14
206750,1.09290908084e-14
207000,1.02881798921e-14
207250,9.42759386642e-15
207500,8.64133281181e-15
207750,9.62728478679e-15
208000,8.81524360604e-15
208250,8.95594130084e-15
208500,8.42044137473e-15
208750,8.15467055522e-15
209000,7.78794052141e-15
209250,7.44747160809e-15
209500,7.58183326493e-15
209750,7.37997367329e-15
210000,7.68323386189e-15
210250,6.58023261615e-15
210500,6.66285975498e-15
210750,6.64788166106e-15
211000,6.67709608466e-15
211250,6.43293622315e-15
211500,6.76180982531e-15
211750,7.08117211495e-15
212000,6.39409804807e-15
212250,6.1930220409e-15
212500,5.5550121412e-15
212750,5.62537264073e-15
213000,5.93962287464e-15
213250,6.08128401223e-15
213500,6.02445037649e-15
213750,5.7546359368e-15
214000,5.60296072523e-15
214250,5.29430875303e-15
214500,4.50332695179e-15
214750,6.15633247132e-15
215000,5.28270221393e-15
215250,5.44331104496e-15
215500,5.5636548811e-15
215750,4.44289846408e-15
216000,4.73763662741e-15
216250,4.48196361489e-15
216500,4.36104994012e-15
216750,4.81851545257e-15
217000,5.02077608795e-15
217250,4.58941877336e-15
217500,4.91452740205e-15
217750,4.07160571642e-15
218000,3.97831122315e-15
218250,4.30150158761e-15
218500,3.95383746158e-15
218750,4.46093568979e-15
219000,3.65429561851e-15
219250,3.25371037958e-15
219500,2.65328701729e-15
219750,3.10425253125e-15
220000,3.95553439558e-15
220250,4.80268012445e-15
220500,4.63800568083e-15
220750,4.99938669812e-15
221000,4.4791575058e-15
221250,3.76213059263e-15
221500,3.51552121244e-15
221750,3.69587417222e-15
222000,3.36764697993e-15
222250,3.98778615013e-15
222500,3.43643092715e-15
222750,3.51119220772e-15
223000,3.3918754494e-15
223250,3.18592720442e-15
223500,3.93270484327e-15
223750,2.07780092377e-15
224000,2.60013894197e-15
224250,3.98263176075e-15
224500,3.17273867535e-15
224750,2.7738708045e-15
225000,4.3954753501e-15
225250,5.13076572027e-15
225500,2.70988912765e-15
225750,4.43900328167e-15
226000,3.89376907174e-15
226250,3.5950121546e-15
226500,3.27226993725e-15
226750,3.82700730157e-15
227000,3.4606812669e-15
227250,3.88389572871e-15
227500,3.71512573915e-15
227750,3.28463481798e-15
228000,3.29464931835e-15
228250,2.77325996777e-15
228500,3.62790333531e-15
228750,3.31608917763e-15
229000,3.23095489371e-15
229250,2.76262574386e-15
229500,2.20873908055e-15
229750,2.34353147229e-15
230000,2.93404227543e-15
230250,2.51733908846e-15
230500,2.92655492016e-15
230750,1.83696052189e-15
231000,5.65667690964e-15
231250,7.0382064325e-15
231500,2.77934450652e-15
231750,3.66059170826e-15
232000,2.02852950997e-15
232250,2.87673316016e-15
232500,1.29271621419e-15
232750,2.74859507417e-15
233000,2.56784740976e-15
233250,3.08879088959e-15
233500,2.64085252995e-15
233750,2.1286189854e-15
234000,2.0520620163e-15
234250,2.64750001904e-15
234500,1.86710909732e-15
234750,3.1782718835e-15
235000,1.42148090617e-15
235250,2.69586482432e-15
235500,1.89234322378e-15
235750,2.88222148451e-15
236000,3.89800295765e-15
236250,3.20582509544e-15
236500,3.66962565356e-15
236750,3.11910807296e-15
237000,2.4654975208e-15
237250,1.51426110806e-15
237500,2.06803612724e-15
237750,1.54071254076e-15
238000,2.78471676072e-15
238250,2.19140783408e-15
238500,2.50651683697e-15
238750,2.2971101106e-15
239000,2.46014688812e-15
239250,2.09918678203e-15
239500,1.85066065926e-15
239750,1.55754812452e-15
240000,1.54965040434e-15
240250,1.67233847127e-15
240500,2.34670261133e-15
240750,2.00956669687e-15
241000,1.90846691908e-15
241250,2.00750253195e-15
241500,2.00415983065e-15
241750,2.20470664716e-15
242000,1.98460981603e-15
242250,1.90749373816e-15
242500,2.00731822002e-15
242750,1.95518478061e-15
243000,2.62519253594e-15
243250,1.80174520443e-15
243500,2.03327897725e-15
243750,1.95070656951e-15
244000,1.81338200788e-15
244250,2.61654155077e-15
244500,2.34344179485e-15
244750,1.7206643742e-15
245000,2.22136715938e-15
245250,2.05704030523e-15
245500,2.2068386998e-15
245750,1.98294353999e-15
246000,1.92586095572e-15
246250,1.9830841493e-15
246500,2.07562245103e-15
246750,2.49791348622e-15
247000,2.12694771071e-15
247250,3.03453969515e-15
247500,2.20922122431e-15
247750,1.50714519878e-15
248000,2.21585055041e-15
248250,1.85576249494e-15
248500,2.10437613556e-15
248750,1.75660005906e-15
249000,1.76037624733e-15
249250,1.82527563659e-15
249500,2.18831254963e-15
249750,2.27197177867e-15
250000,2.17823760567e-15
250250,1.61598045308e-15
250500,1.38452787132e-15
250750,2.19729611741e-15
251000,2.03843406557e-15
251250,8.93752876072e-16
251500,2.51139747718e-15
251750,2.46937076257e-15
252000,2.17764144214e-15
252250,1.5004072997e-15
252500,1.54858452692e-15
252750,1.87657866525e-15
253000,1.36113839039e-15
253250,2.01864295273e-15
253500,2.07741938568e-15
253750,3.07696845302e-15
254000,2.65942373623e-15
254250,2.84295618341e-15
254500,1.80340177539e-15
254750,2.18706568342e-15
255000,2.00173613166e-15
255250,1.89524456337e-15
255500,1.21463482594e-15
255750,1.70834809369e-15
256000,7.14507206147e-16
256250,1.42573720591e-15
256500,1.2261449997e-15
256750,1.80719064213e-15
257000,1.84553908729e-15
257250,1.62872217439e-15
257500,1.37337037534e-15
257750,1.93792188733e-15
258000,7.82536609298e-16
258250,2.24416245857e-15
258500,1.25839617156e-15
258750,1.40534608923e-15
259000,6.25547120638e-16
259250,1.55024408593e-15
259500,1.14024232036e-15
259750,1.59696671067e-15
260000,1.1603157035e-15
260250,5.02560329582e-16
260500,1.75676189837e-15
260750,1.13873101256e-15
261000,1.59511237781e-15
261250,1.14700954367e-15
261500,6.02900833113e-16
261750,2.05308890954e-15
262000,1.08281029832e-15
262250,2.2536590201e-15
262500,1.81610491516e-15
262750,1.46215711775e-15
263000,2.44603988207e-15
263250,1.30834407261e-15
263500,5.89549249301e-15
263750,3.07919391251e-15
264000,1.59096349074e-15
264250,1.33585906535e-15
264500,2.6273483593e-15
